Taxon	Taxon Level	Function	Type	growth morphology	Likelihood	Notes	Citation/Source
Kalchbrenneriella cyanescens	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Kallichroma	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kallistoskypha	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kalmusia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kamatia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kantvilasia	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kappamyces	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Karakulinia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Karlingiomyces	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Karoowia	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Karschia athallina	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Karschia inops	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Karschia inops	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Karschia talcophila	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Karstenella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Karsteniomyces peltigerae	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Karstenula	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kathistes	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Katumotoa	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kavinia	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kawasakia	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Kazachstania	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Kazulia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Keissleriella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kellermania	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kephartia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Keratinomyces	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kernella	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kernia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kerniomyces	7	Biotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kernkampella	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Khuskia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Khuskia oryzae	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Kickxella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kiehlia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kiliasia	7	Symbiotroph	Lichenized		Highly Probable	Syn. Toninia	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Kimbropezia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kimuromyces	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kirkiana	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kirkomyces	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kirramyces	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kjeldsenia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Klasterskya	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Klastostachys	7	Symbiotroph	Animal gut		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kleidiomyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kloeckera	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Kloeckeraspora	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Kluyveromyces	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Kneiffia	7	Saprotroph			Probable	 	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Knoxdaviesia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kobayasia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kochiella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kochiomyces	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kochmania	7	Biotroph	Plant pathogen	Facultative yeast	Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kockovaella	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Kodamaea	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Koerberia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Koerberiella	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Kohlmeyera	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Kohlmeyeriella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kohninia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Komagataea	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Komagataella	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Kompsoscypha	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kondoa	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Koralionastes	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kordyana	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Korfia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Korfiella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Korupella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kotlabaea	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kraurogymnocarpa	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kregervanrija	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Kretzschmaria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kretzschmariella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kriegeria	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Kriegeriella	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Krieglsteinera	7	Biotroph	Mycoparasite	Facultative yeast	Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Krieglsteinera lasiosphaeriae	8	Biotroph	Mycoparasite		Highly Probable		List compiled by John Plischke III; home.comcast.net/~grifola/fungionfungi.pdf
Krogia	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Krombholzia	7	Symbiotroph	Ectomycorrhizal		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Krombholziella	7	Symbiotroph	Ectomycorrhizal		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kroswia	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kruphaiomyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kuehneola	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kuehneola uredinis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Kuehneromyces	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kuehniella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kuklospora	7	Symbiotroph	Arbuscular mycorrhizal		Highly Probable		"Redecker D, Schussler A, Stockinger H, Sturmer SL, Morton JB, Walker C. 2013. Mycorrhiza 23: 515-531"
Kumbhamaya	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kunkelia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kuntzeomyces	7	Biotroph	Plant pathogen	Facultative yeast	Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kuraishia	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Kurtzmaniella	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Kurtzmanomyces	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Kutilakesa pironii	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Kuzuhaea	7	Biotroph	Mycoparasite		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kweilingia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kwoniella	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Kylindria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Kyphomyces	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Laboulbenia	7	Biotroph	Animal Pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Labrella coryli	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Labrocarpon	7	Biotroph	Lichenicolous		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Labyrintha	7	Symbiotroph	Lichenized		Highly Probable		Outline of Ascomycota (http://www.fieldmuseum.org/myconet)
Labyrinthomyces	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Laccaria	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Laccariopsis	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Laccocephalum	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lachancea	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Lachnaster	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lachnea	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263"
Lachnella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lachnellula	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lachnocladium	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lachnum	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lacrymaria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lacrymospora	7	Symbiotroph	Lichenized		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lactarius	7	Symbiotroph	Ectomycorrhizal		Highly Probable		"Rinaldi AC, Comandini O, Kuyper TW. 2008. Fungal Diversity 33: 1-45; Tedersoo L, May TW, Smith ME. 2010. Mycorrhiza 20: 217-263; http://mycorrhizas.info/ecmf.html"
Lactifluus	7	Symbiotroph	Ectomycorrhizal		Highly Probable		List compiled by Sara Branco with input from Nhu Nguyen and Else Vellinga
Lactocollybia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lacustromyces	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Laestadia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Laeticorticium roseum	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Laetifomes	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Laetiporus	7	Saprotroph	Wood Rot		Highly Probable	Brown Rot	"Gilbertson RL; Ryvarden L. 1987-1987. North American Polypores. Fungiflora, Oslo"
Laetisaria	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Laetisaria fuciformis	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Laeviomeliola	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Laeviomyces lecanoricola	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Laeviomyces pertusariicola	8	Biotroph|Symbiotroph	Lichenicolous fungus		Possible		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Lagarobasidium	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lagena radicicola	8	Biotroph	Plant Pathogen		Probable		http://www.apsnet.org/publications/commonnames/Pages/default.aspx
Lagenulopsis	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lahmia	7	Symbiotroph	Lichenized		Highly Probable	Syn. Arthrorhaphis	Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Lahmiomyces	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lalaria	7	Saprotroph		Yeast	Highly Probable		"Kurtzman CP, Fell JW, Boekhout T (eds.) 2011. The Yeasts, a Taxonomic Study. Fifth Edition. Vols 1-3. Elsevier, San Diego"
Lambertella	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lambertellinia	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lamelloporus	7	Saprotroph			Probable	White rot	"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lamprospora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lampteromyces	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lanatonectria	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lancisporomyces	7	Symbiotroph	Animal gut		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Langdonia	7	Biotroph	Plant pathogen	Facultative yeast	Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Langermannia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Langermannia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Langeronites	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lanspora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lanzia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Laoco_n	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Laridospora	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lasallia	7	Symbiotroph	Lichenized		Highly Probable		Esslinger TL. 2014. North Dakota State University: http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm
Lasiobelonium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lasiobertia	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lasiobolidium	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lasiobolus	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lasiobotrys	7	Biotroph	Plant pathogen		Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
Lasiochlaena	7	Saprotroph			Probable		"Tedersoo et al. 28 November 2014, Science 346, 1256688"
